msisdn,date
919491750460,15/12/19
919491750461,15/12/19
919491750462,15/12/19
919491750463,15/12/19
919491750464,15/12/19
919491750465,15/12/19
919491750466,15/12/19
919491750467,15/12/19
919491750468,15/12/19
919491750469,15/12/19
919491750470,15/12/19
919491750471,15/12/19
919491750472,15/12/19
919491750473,15/12/19
919491750474,15/12/19
919491750475,15/12/19
919491750476,15/12/19
919491750477,15/12/19
919491750478,15/12/19
919491750479,15/12/19
919491750480,15/12/19
919491750481,15/12/19
919491750482,15/12/19
919491750483,15/12/19
919491750484,15/12/19
919491750485,15/12/19
919491750486,15/12/19
919491750487,15/12/19
919491750488,15/12/19
919491750489,15/12/19
919491750490,15/12/19
919491750491,15/12/19
919491750492,15/12/19
919491750493,15/12/19
919491750494,15/12/19
919491750495,15/12/19
919491750496,15/12/19
919491750497,15/12/19
919491750498,15/12/19
919491750499,15/12/19
919491750500,15/12/19
919491750501,15/12/19
919491750502,15/12/19
919491750503,15/12/19
919491750504,15/12/19
919491750505,15/12/19
919491750506,15/12/19
919491750507,15/12/19
919491750508,15/12/19
919491750509,15/12/19
919491750510,15/12/19
919491750511,15/12/19
919491750512,15/12/19
919491750513,15/12/19
919491750514,15/12/19
919491750515,15/12/19
919491750516,15/12/19
919491750517,15/12/19
919491750518,15/12/19
919491750519,15/12/19
919491750520,15/12/19
919491750521,15/12/19
919491750522,15/12/19
919491750523,15/12/19
919491750524,15/12/19
919491750525,15/12/19
919491750526,15/12/19
919491750527,15/12/19
919491750528,15/12/19
919491750529,15/12/19
919491750530,15/12/19
919491750531,15/12/19
919491750532,15/12/19
919491750533,15/12/19
919491750534,15/12/19
919491750535,15/12/19
919491750536,15/12/19
919491750537,15/12/19
919491750538,15/12/19
919491750539,15/12/19
919491750540,15/12/19
919491750541,15/12/19
919491750542,15/12/19
919491750543,15/12/19
919491750544,15/12/19
919491750545,15/12/19
919491750546,15/12/19
919491750547,15/12/19
919491750548,15/12/19
919491750549,15/12/19
919491750550,15/12/19
919491750551,15/12/19
919491750552,15/12/19
919491750553,15/12/19
919491750554,15/12/19
919491750555,15/12/19
919491750556,15/12/19
919491750557,15/12/19
919491750558,15/12/19
919491750559,15/12/19
919491750560,15/12/19
919491750561,15/12/19
919491750562,15/12/19
919491750563,15/12/19
919491750564,15/12/19
919491750565,15/12/19
919491750566,15/12/19
919491750567,15/12/19
919491750568,15/12/19
919491750569,15/12/19
919491750570,15/12/19
919491750571,15/12/19
919491750572,15/12/19
919491750573,15/12/19
919491750574,15/12/19
919491750575,15/12/19
919491750576,15/12/19
919491750577,15/12/19
919491750578,15/12/19
919491750579,15/12/19
919491750580,15/12/19
919491750581,15/12/19
919491750582,15/12/19
919491750583,15/12/19
919491750584,15/12/19
919491750585,15/12/19
919491750586,15/12/19
919491750587,15/12/19
919491750588,15/12/19
919491750589,15/12/19
919491750590,15/12/19
919491750591,15/12/19
919491750592,15/12/19
919491750593,15/12/19
919491750594,15/12/19
919491750595,15/12/19
919491750596,15/12/19
919491750597,15/12/19
919491750598,15/12/19
919491750599,15/12/19
919491750600,15/12/19
919491750601,15/12/19
919491750602,15/12/19
919491750603,15/12/19
919491750604,15/12/19
919491750605,15/12/19
919491750606,15/12/19
919491750607,15/12/19
919491750608,15/12/19
919491750609,15/12/19
919491750610,15/12/19
919491750611,15/12/19
919491750612,15/12/19
919491750613,15/12/19
919491750614,15/12/19
919491750615,15/12/19
919491750616,15/12/19
919491750617,15/12/19
919491750618,15/12/19
919491750619,15/12/19
919491750620,15/12/19
919491750621,15/12/19
919491750622,15/12/19
919491750623,15/12/19
919491750624,15/12/19
919491750625,15/12/19
919491750626,15/12/19
919491750627,15/12/19
919491750628,15/12/19
919491750629,15/12/19
919491750630,15/12/19
919491750631,15/12/19
919491750632,15/12/19
919491750633,15/12/19
919491750634,15/12/19
919491750635,15/12/19
919491750636,15/12/19
919491750637,15/12/19
919491750638,15/12/19
919491750639,15/12/19
919491750640,15/12/19
919491750641,15/12/19
919491750642,15/12/19
919491750643,15/12/19
919491750644,15/12/19
919491750645,15/12/19
919491750646,15/12/19
919491750647,15/12/19
919491750648,15/12/19
919491750649,15/12/19
919491750650,15/12/19
919491750651,15/12/19
919491750652,15/12/19
919491750653,15/12/19
919491750654,15/12/19
919491750655,15/12/19
919491750656,15/12/19
919491750657,15/12/19
919491750658,15/12/19
919491750659,15/12/19
919491750660,15/12/19
919491750661,15/12/19
919491750662,15/12/19
919491750663,15/12/19
919491750664,15/12/19
919491750665,15/12/19
919491750666,15/12/19
919491750667,15/12/19
919491750668,15/12/19
919491750669,15/12/19
919491750670,15/12/19
919491750671,15/12/19
919491750672,15/12/19
919491750673,15/12/19
919491750674,15/12/19
919491750675,15/12/19
919491750676,15/12/19
919491750677,15/12/19
919491750678,15/12/19
919491750679,15/12/19
919491750680,15/12/19
919491750681,15/12/19
919491750682,15/12/19
919491750683,15/12/19
919491750684,15/12/19
919491750685,15/12/19
919491750686,15/12/19
919491750687,15/12/19
919491750688,15/12/19
919491750689,15/12/19
919491750690,15/12/19
919491750691,15/12/19
919491750692,15/12/19
919491750693,15/12/19
919491750694,15/12/19
919491750695,15/12/19
919491750696,15/12/19
919491750697,15/12/19
919491750698,15/12/19
919491750699,15/12/19
919491750700,15/12/19
919491750701,15/12/19
919491750702,15/12/19
919491750703,15/12/19
919491750704,15/12/19
919491750705,15/12/19
919491750706,15/12/19
919491750707,15/12/19
919491750708,15/12/19
919491750709,15/12/19
919491750710,15/12/19
919491750711,15/12/19
919491750712,15/12/19
919491750713,15/12/19
919491750714,15/12/19
919491750715,15/12/19
919491750716,15/12/19
919491750717,15/12/19
919491750718,15/12/19
919491750719,15/12/19
919491750720,15/12/19
919491750721,15/12/19
919491750722,15/12/19
919491750723,15/12/19
919491750724,15/12/19
919491750725,15/12/19
919491750726,15/12/19
919491750727,15/12/19
919491750728,15/12/19
919491750729,15/12/19
919491750730,15/12/19
919491750731,15/12/19
919491750732,15/12/19
919491750733,15/12/19
919491750734,15/12/19
919491750735,15/12/19
919491750736,15/12/19
919491750737,15/12/19
919491750738,15/12/19
919491750739,15/12/19
919491750740,15/12/19
919491750741,15/12/19
919491750742,15/12/19
919491750743,15/12/19
919491750744,15/12/19
919491750745,15/12/19
919491750746,15/12/19
919491750747,15/12/19
919491750748,15/12/19
919491750749,15/12/19
919491750750,15/12/19
919491750751,15/12/19
919491750752,15/12/19
919491750753,15/12/19
919491750754,15/12/19
919491750755,15/12/19
919491750756,15/12/19
919491750757,15/12/19
919491750758,15/12/19
919491750759,15/12/19
919491750760,15/12/19
919491750761,15/12/19
919491750762,15/12/19
919491750763,15/12/19
919491750764,15/12/19
919491750765,15/12/19
919491750766,15/12/19
919491750767,15/12/19
919491750768,15/12/19
919491750769,15/12/19
919491750770,15/12/19
919491750771,15/12/19
919491750772,15/12/19
919491750773,15/12/19
919491750774,15/12/19
919491750775,15/12/19
919491750776,15/12/19
919491750777,15/12/19
919491750778,15/12/19
919491750779,15/12/19
919491750780,15/12/19
919491750781,15/12/19
919491750782,15/12/19
919491750783,15/12/19
919491750784,15/12/19
919491750785,15/12/19
919491750786,15/12/19
919491750787,15/12/19
919491750788,15/12/19
919491750789,15/12/19
919491750790,15/12/19
919491750791,15/12/19
919491750792,15/12/19
919491750793,15/12/19
919491750794,15/12/19
919491750795,15/12/19
919491750796,15/12/19
919491750797,15/12/19
919491750798,15/12/19
919491750799,15/12/19
919491750800,15/12/19
919491750801,15/12/19
919491750802,15/12/19
919491750803,15/12/19
919491750804,15/12/19
919491750805,15/12/19
919491750806,15/12/19
919491750807,15/12/19
919491750808,15/12/19
919491750809,15/12/19
919491750810,15/12/19
919491750811,15/12/19
919491750812,15/12/19
919491750813,15/12/19
919491750814,15/12/19
919491750815,15/12/19
919491750816,15/12/19
919491750817,15/12/19
919491750818,15/12/19
919491750819,15/12/19
919491750820,15/12/19
919491750821,15/12/19
919491750822,15/12/19
919491750823,15/12/19
919491750824,15/12/19
919491750825,15/12/19
919491750826,15/12/19
919491750827,15/12/19
919491750828,15/12/19
919491750829,15/12/19
919491750830,15/12/19
919491750831,15/12/19
919491750832,15/12/19
919491750833,15/12/19
919491750834,15/12/19
919491750835,15/12/19
919491750836,15/12/19
919491750837,15/12/19
919491750838,15/12/19
919491750839,15/12/19
919491750840,15/12/19
919491750841,15/12/19
919491750842,15/12/19
919491750843,15/12/19
919491750844,15/12/19
919491750845,15/12/19
919491750846,15/12/19
919491750847,15/12/19
919491750848,15/12/19
919491750849,15/12/19
919491750850,15/12/19
919491750851,15/12/19
919491750852,15/12/19
919491750853,15/12/19
919491750854,15/12/19
919491750855,15/12/19
919491750856,15/12/19
919491750857,15/12/19
919491750858,15/12/19
919491750859,15/12/19
919491750860,15/12/19
919491750861,15/12/19
919491750862,15/12/19
919491750863,15/12/19
919491750864,15/12/19
919491750865,15/12/19
919491750866,15/12/19
919491750867,15/12/19
919491750868,15/12/19
919491750869,15/12/19
919491750870,15/12/19
919491750871,15/12/19
919491750872,15/12/19
919491750873,15/12/19
919491750874,15/12/19
919491750875,15/12/19
919491750876,15/12/19
919491750877,15/12/19
919491750878,15/12/19
919491750879,15/12/19
919491750880,15/12/19
919491750881,15/12/19
919491750882,15/12/19
919491750883,15/12/19
919491750884,15/12/19
919491750885,15/12/19
919491750886,15/12/19
919491750887,15/12/19
919491750888,15/12/19
919491750889,15/12/19
919491750890,15/12/19
919491750891,15/12/19
919491750892,15/12/19
919491750893,15/12/19
919491750894,15/12/19
919491750895,15/12/19
919491750896,15/12/19
919491750897,15/12/19
919491750898,15/12/19
919491750899,15/12/19
919491750900,15/12/19
919491750901,15/12/19
919491750902,15/12/19
919491750903,15/12/19
919491750904,15/12/19
919491750905,15/12/19
919491750906,15/12/19
919491750907,15/12/19
919491750908,15/12/19
919491750909,15/12/19
919491750910,15/12/19
919491750911,15/12/19
919491750912,15/12/19
919491750913,15/12/19
919491750914,15/12/19
919491750915,15/12/19
919491750916,15/12/19
919491750917,15/12/19
919491750918,15/12/19
919491750919,15/12/19
919491750920,15/12/19
919491750921,15/12/19
919491750922,15/12/19
919491750923,15/12/19
919491750924,15/12/19
919491750925,15/12/19
919491750926,15/12/19
919491750927,15/12/19
919491750928,15/12/19
919491750929,15/12/19
919491750930,15/12/19
919491750931,15/12/19
919491750932,15/12/19
919491750933,15/12/19
919491750934,15/12/19
919491750935,15/12/19
919491750936,15/12/19
919491750937,15/12/19
919491750938,15/12/19
919491750939,15/12/19
919491750940,15/12/19
919491750941,15/12/19
919491750942,15/12/19
919491750943,15/12/19
919491750944,15/12/19
919491750945,15/12/19
919491750946,15/12/19
919491750947,15/12/19
919491750948,15/12/19
919491750949,15/12/19
919491750950,15/12/19
919491750951,15/12/19
919491750952,15/12/19
919491750953,15/12/19
919491750954,15/12/19
919491750955,15/12/19
919491750956,15/12/19
919491750957,15/12/19
919491750958,15/12/19
919491750959,15/12/19
919491750960,15/12/19
919491750961,15/12/19
919491750962,15/12/19
919491750963,15/12/19
919491750964,15/12/19
919491750965,15/12/19
919491750966,15/12/19
919491750967,15/12/19
919491750968,15/12/19
919491750969,15/12/19
919491750970,15/12/19
919491750971,15/12/19
919491750972,15/12/19
919491750973,15/12/19
919491750974,15/12/19
919491750975,15/12/19
919491750976,15/12/19
919491750977,15/12/19
919491750978,15/12/19
919491750979,15/12/19
919491750980,15/12/19
919491750981,15/12/19
919491750982,15/12/19
919491750983,15/12/19
919491750984,15/12/19
919491750985,15/12/19
919491750986,15/12/19
919491750987,15/12/19
919491750988,15/12/19
919491750989,15/12/19
919491750990,15/12/19
919491750991,15/12/19
919491750992,15/12/19
919491750993,15/12/19
919491750994,15/12/19
919491750995,15/12/19
919491750996,15/12/19
919491750997,15/12/19
919491750998,15/12/19
919491750999,15/12/19
919491751000,15/12/19
919717802050,15/12/19
919446506953,15/12/19
919446506807,15/12/19
919446506952,15/12/19
919446506808,15/12/19
919446506954,15/12/19
919446506955,15/12/19
919446506956,15/12/19
919446506957,15/12/19
919446506958,15/12/19
919446506809,15/12/19
919446506959,15/12/19
919446506900,15/12/19
919446506960,15/12/19
919446506901,15/12/19
919446506903,15/12/19
919446506902,15/12/19
919446506950,15/12/19
919446506951,15/12/19
