msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age,device id,location insight,digital persona,demographic,larned behaviour,analytical scores,digital engagement,Target Group_q11
919491750021,ozgcgk,otjzne,USA,shobina.k@flytxt.com,Malayalam,Urdu,321,Yes,25,6785,7,17,27,37,46,237,10
919491750022,jvapof,ysimrg,Korea,shobina.k@flytxt.com,Malayalam,Urdu,383,Yes,55,6785,8,23,28,38,46,237,10
919491750023,erndvy,sezqvq,USA,shobina.k@flytxt.com,Malayalam,Urdu,117,Yes,26,6785,8,17,28,37,46,237,10
919491750024,nkoexa,lsikfv,Pakisthan,shobina.k@flytxt.com,Malayalam,Urdu,385,Yes,27,6785,8,18,28,38,46,237,10
919491750025,pwbikh,rionnk,India,shobina.k@flytxt.com,Malayalam,Tamil,327,Yes,67,6785,7,23,27,38,46,238,10
919491750026,pfudjn,reyqxt,Korea,shobina.k@flytxt.com,Malayalam,Urdu,123,Yes,51,6785,7,23,27,38,46,237,10
919491750027,xdpusk,adxurj,USA,shobina.k@flytxt.com,Malayalam,Urdu,378,Yes,63,6785,7,25,34,45,48,256,10
919491750028,udrqvk,ojpikz,Korea,shobina.k@flytxt.com,Malayalam,Spanish,130,Yes,72,6785,7,23,27,38,46,237,10
919491750029,anaqiz,qwmacp,Korea,shobina.k@flytxt.com,Malayalam,Urdu,185,Yes,69,6785,7,25,34,45,48,256,10
919491750030,ouhlsa,ntudmw,Korea,shobina.k@flytxt.com,Malayalam,Mandarin,173,Yes,50,6785,8,23,28,38,46,237,10
919491750031,ztteaj,buetdr,USA,shobina.k@flytxt.com,Malayalam,Tamil,5,Yes,68,6785,8,17,28,37,46,238,10
919491750032,stayhz,gkrlbd,India,shobina.k@flytxt.com,Malayalam,Spanish,216,Yes,24,6785,7,25,34,45,48,256,10
919491750033,rclqgl,zuafsj,Pakisthan,shobina.k@flytxt.com,Malayalam,Mandarin,280,Yes,57,6785,8,18,28,38,46,237,10
919491750034,jesyhn,gbcram,India,shobina.k@flytxt.com,Malayalam,Mandarin,164,Yes,56,6785,7,23,27,38,46,237,10
919491750035,tlgofy,ajmdkk,USA,shobina.k@flytxt.com,Malayalam,Spanish,280,Yes,28,6785,7,17,27,37,46,237,10
919491750036,ciqztv,jsrzhk,India,shobina.k@flytxt.com,Malayalam,Mandarin,123,Yes,26,6785,7,23,27,38,46,237,10
919491750037,kulsgh,ozjxcf,Korea,shobina.k@flytxt.com,Malayalam,Urdu,392,Yes,26,6785,7,25,34,45,47,256,10
919491750038,iotmbj,ppffqd,India,shobina.k@flytxt.com,Malayalam,Mandarin,320,Yes,26,6785,7,23,27,38,46,237,10
919491750039,lkayzk,jowbqe,Pakisthan,shobina.k@flytxt.com,Malayalam,Mandarin,344,Yes,29,6785,7,18,27,38,46,237,10
919491750040,ekszjn,txsrtm,India,shobina.k@flytxt.com,Malayalam,Spanish,357,Yes,53,6785,7,25,34,45,48,256,10
919491750041,llpevy,sgftht,USA,shobina.k@flytxt.com,Malayalam,Tamil,76,Yes,65,6785,7,25,34,45,48,256,10
919491750042,yxdyib,hicyrd,India,shobina.k@flytxt.com,Malayalam,Urdu,230,Yes,74,6785,7,25,34,45,47,256,10
919491750043,nnnsvh,dvuogl,Korea,shobina.k@flytxt.com,Malayalam,Tamil,185,Yes,52,6785,7,25,34,45,48,256,10
919491750044,tthpzw,owutqj,India,shobina.k@flytxt.com,Malayalam,Mandarin,50,Yes,39,6785,7,23,27,38,46,237,10
919491750045,joicpq,kfooxq,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,11,Yes,26,6785,7,25,34,45,47,256,10
919491750046,klqxmr,fxzezk,Korea,shobina.k@flytxt.com,Malayalam,Urdu,378,Yes,61,6785,7,25,34,45,48,256,10
919491750047,spidpk,bmvyxl,USA,shobina.k@flytxt.com,Malayalam,Spanish,388,Yes,42,6785,7,25,34,45,48,256,10
919491750048,rdgxcr,vqvdgt,Pakisthan,shobina.k@flytxt.com,Malayalam,Urdu,385,Yes,57,6785,8,18,28,38,46,237,10
919491750049,awzhql,igycpv,USA,shobina.k@flytxt.com,Malayalam,Mandarin,222,Yes,29,6785,7,17,27,37,46,237,10
919491750050,vnqmzv,uolzua,India,shobina.k@flytxt.com,Malayalam,Mandarin,243,Yes,26,7778,8,21,41,41,56,246,20
919491750051,vnfsng,oztpux,USA,shobina.k@flytxt.com,Malayalam,Tamil,241,Yes,26,7778,8,21,41,41,56,246,20
919491750052,usulrh,qngtyz,Pakisthan,shobina.k@flytxt.com,Malayalam,Urdu,194,Yes,26,7778,8,21,41,41,56,246,20
919491750053,yuvvql,tvpkcd,India,shobina.k@flytxt.com,Malayalam,Spanish,96,Yes,26,7778,8,21,41,41,56,246,20
919491750054,ohccrt,dbypbp,Korea,shobina.k@flytxt.com,Malayalam,Spanish,106,Yes,26,7778,8,21,41,41,56,246,20
919491750055,lcoblj,dpqdfn,Pakisthan,shobina.k@flytxt.com,Malayalam,Urdu,269,Yes,26,7778,8,21,41,41,56,246,20
919491750056,fkkoom,fvzskr,Korea,shobina.k@flytxt.com,Malayalam,Tamil,197,Yes,26,7778,8,21,41,41,56,246,20
919491750057,nxcbgy,tbhlwg,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,364,Yes,26,7778,8,21,41,41,56,246,20
919491750058,getquu,plzpgd,USA,shobina.k@flytxt.com,Malayalam,Tamil,283,Yes,26,7778,8,21,41,41,56,246,20
919491750059,olicgn,qoymeg,India,shobina.k@flytxt.com,Malayalam,Tamil,260,Yes,26,7778,8,21,41,41,56,246,20
919491750060,zcyfge,adsems,Korea,shobina.k@flytxt.com,Malayalam,Mandarin,33,Yes,26,7778,8,21,41,41,56,246,20
919491750061,hpsxut,obteqd,Korea,shobina.k@flytxt.com,Malayalam,Urdu,17,Yes,26,7778,8,21,41,41,56,246,20
919491750062,xxsxjn,ttwsxg,USA,shobina.k@flytxt.com,Malayalam,Spanish,289,Yes,26,7778,8,21,41,41,56,246,20
919491750063,apzudb,isaigw,Korea,shobina.k@flytxt.com,Malayalam,Urdu,7,Yes,26,7778,8,21,41,41,56,246,20
919491750064,vcykcb,kvrlup,USA,shobina.k@flytxt.com,Malayalam,Tamil,234,Yes,26,7778,8,21,41,41,56,246,20
919491750065,klorit,cjqomj,USA,shobina.k@flytxt.com,Malayalam,Urdu,33,Yes,26,7778,8,21,41,41,56,246,20
919491750066,gizdxo,loxpks,USA,shobina.k@flytxt.com,Malayalam,Tamil,398,Yes,26,7778,8,21,41,41,56,246,20
919491750067,oxisqj,xsleuc,Pakisthan,shobina.k@flytxt.com,Malayalam,Spanish,278,Yes,26,7778,8,21,41,41,56,246,20
919491750068,xtqofa,qiyyim,Korea,shobina.k@flytxt.com,Malayalam,Urdu,297,Yes,26,7778,8,21,41,41,56,246,20
919491750069,isfard,xcbizh,USA,shobina.k@flytxt.com,Malayalam,Urdu,93,Yes,26,7778,8,21,41,41,56,246,20
919491750070,lgpvgy,lyeykf,Pakisthan,shobina.k@flytxt.com,Malayalam,Spanish,336,Yes,26,7778,8,21,41,41,56,246,20
919491750071,czfceu,gkimwk,USA,shobina.k@flytxt.com,Malayalam,Tamil,7,Yes,26,7778,8,21,41,41,56,246,20
919491750072,rpvtoj,pnwweu,India,shobina.k@flytxt.com,Malayalam,Tamil,199,Yes,26,7778,8,21,41,41,56,246,20
919491750073,ffpqly,qyayls,Korea,shobina.k@flytxt.com,Malayalam,Mandarin,362,Yes,26,7778,8,21,41,41,56,246,20
919491750074,eectak,ofjakq,Pakisthan,shobina.k@flytxt.com,Malayalam,Mandarin,237,Yes,26,7778,8,21,41,41,56,246,20
919491750075,londup,zxtszd,Korea,shobina.k@flytxt.com,Malayalam,Urdu,301,Yes,26,7778,8,21,41,41,56,246,20
919491750076,dlckxc,mvppkq,India,shobina.k@flytxt.com,Malayalam,Mandarin,385,Yes,26,7778,8,21,41,41,56,246,20
919491750077,chlbbr,qzqmfc,India,shobina.k@flytxt.com,Malayalam,Tamil,302,Yes,26,7778,8,21,41,41,56,246,20
919491750078,bmxvrl,cchbba,Korea,shobina.k@flytxt.com,Malayalam,Spanish,151,Yes,26,7778,8,21,41,41,56,246,20
919491750079,rpsntb,jhvhip,India,shobina.k@flytxt.com,Malayalam,Tamil,81,Yes,26,7778,8,21,41,41,56,246,20
919491750080,cyrmwd,vqjnta,Korea,shobina.k@flytxt.com,Malayalam,Tamil,261,Yes,26,7778,8,21,41,41,56,246,20
919491750081,oujsni,zeqwuz,Korea,shobina.k@flytxt.com,Malayalam,Spanish,19,Yes,26,7778,8,21,41,41,56,246,20
919491750082,yofgox,pbwiby,Korea,shobina.k@flytxt.com,Malayalam,Urdu,40,Yes,26,7778,8,21,41,41,56,246,20
919491750083,ruajid,mlipya,Korea,shobina.k@flytxt.com,Malayalam,Spanish,221,Yes,26,7778,8,21,41,41,56,246,20
919491750084,fgkmiw,fxptjs,Pakisthan,shobina.k@flytxt.com,Malayalam,Urdu,244,Yes,26,7778,8,21,41,41,56,246,20
919491750085,asrkho,oyocon,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,147,Yes,26,7778,8,21,41,41,56,246,20
919491750086,axrxic,jsbyxx,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,327,Yes,26,7778,8,21,41,41,56,246,20
919491750087,gvnsel,dnkadw,USA,shobina.k@flytxt.com,Malayalam,Mandarin,395,Yes,26,7778,8,21,41,41,56,246,20
919491750088,sqgudg,onqajv,Korea,shobina.k@flytxt.com,Malayalam,Urdu,62,Yes,26,7778,8,21,41,41,56,246,20
919491750089,gfvvzw,vkmqla,USA,shobina.k@flytxt.com,Malayalam,Urdu,74,Yes,26,7778,8,21,41,41,56,246,20
919491750090,ylkwlk,tcxbvg,Pakisthan,shobina.k@flytxt.com,Malayalam,Urdu,160,Yes,26,7778,8,21,41,41,56,246,20
919491750091,sahdyn,nqonaz,India,shobina.k@flytxt.com,Malayalam,Spanish,185,Yes,26,7778,8,21,41,41,56,246,20
919491750092,jqkada,zujyby,Pakisthan,shobina.k@flytxt.com,Malayalam,Urdu,248,Yes,26,7778,8,21,41,41,56,246,20
919491750093,sfytgg,lckrtb,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,135,Yes,26,7778,8,21,41,41,56,246,20
919491750094,vceyqi,frpjlm,Pakisthan,shobina.k@flytxt.com,Malayalam,Mandarin,368,Yes,26,7778,8,21,41,41,56,246,20
919491750095,nrwnem,trulmh,India,shobina.k@flytxt.com,Malayalam,Urdu,216,Yes,26,7778,8,21,41,41,56,246,20
919491750096,tpqttx,pthrmz,Korea,shobina.k@flytxt.com,Malayalam,Mandarin,376,Yes,26,7778,8,21,41,41,56,246,20
919491750097,nwkwck,tdurkj,India,shobina.k@flytxt.com,Malayalam,Tamil,106,Yes,26,7778,8,21,41,41,56,246,20
919491750098,ebjzse,xuhmdw,USA,shobina.k@flytxt.com,Malayalam,Spanish,70,Yes,26,7778,8,21,41,41,56,246,20
919491750099,zoddke,spsirm,USA,shobina.k@flytxt.com,Malayalam,Tamil,152,Yes,26,7778,8,21,41,41,56,246,20
919491750100,lvcvpg,paiaff,Pakisthan,shobina.k@flytxt.com,Malayalam,Spanish,375,Yes,27,6667,7,18,31,38,48,237,30
919491750101,crulam,amrtaz,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,359,Yes,24,6667,7,18,31,38,48,237,30
919491750102,kujrxv,sijgqr,Korea,shobina.k@flytxt.com,Malayalam,Mandarin,147,Yes,31,6667,7,18,31,38,48,237,30
919491750103,tomdna,yvmrgh,Pakisthan,shobina.k@flytxt.com,Malayalam,Spanish,77,Yes,71,6667,7,18,31,38,48,237,30
919491750104,dxsbwv,clhqen,India,shobina.k@flytxt.com,Malayalam,Spanish,189,Yes,61,6667,7,18,31,38,48,237,30
919491750105,vdfnfy,cjmmtk,Pakisthan,shobina.k@flytxt.com,Malayalam,Urdu,273,Yes,33,6667,7,18,31,38,48,237,30
919491750106,tfotdb,fajwpj,USA,shobina.k@flytxt.com,Malayalam,Tamil,137,Yes,58,6667,7,18,31,38,48,237,30
919491750107,hvgrfa,ozhgrc,India,shobina.k@flytxt.com,Malayalam,Spanish,92,Yes,26,6667,7,18,31,38,48,237,30
919491750108,homdxk,yuhsaq,India,shobina.k@flytxt.com,Malayalam,Mandarin,248,Yes,46,6667,7,18,31,38,48,237,30
919491750109,wouqmm,xbtncm,Korea,shobina.k@flytxt.com,Malayalam,Spanish,111,Yes,29,6667,7,18,31,38,48,237,30
919491750110,lemegh,gvtrrh,Korea,shobina.k@flytxt.com,Malayalam,Urdu,383,Yes,26,6667,7,18,31,38,48,237,30
919491750111,jmdxwd,jgecqf,India,shobina.k@flytxt.com,Malayalam,Mandarin,350,Yes,71,6667,7,18,31,38,48,237,30
919491750112,wqjzyr,iwrjcj,India,shobina.k@flytxt.com,Malayalam,Mandarin,6,Yes,26,6667,7,18,31,38,48,237,30
919491750113,qzgwdh,keyxnu,USA,shobina.k@flytxt.com,Malayalam,Mandarin,10,Yes,53,6667,7,18,31,38,48,237,30
919491750114,zveeow,xxjduo,Pakisthan,shobina.k@flytxt.com,Malayalam,Spanish,155,Yes,48,6667,7,18,31,38,48,237,30
919491750115,spidzm,kxlisv,India,shobina.k@flytxt.com,Malayalam,Mandarin,76,Yes,34,6667,7,18,31,38,48,237,30
919491750116,jsqslp,wdhfcv,Korea,shobina.k@flytxt.com,Malayalam,Tamil,166,Yes,68,6667,7,18,31,38,48,237,30
919491750117,cwsyxj,dpmzqe,Korea,shobina.k@flytxt.com,Malayalam,Urdu,348,Yes,24,6667,7,18,31,38,48,237,30
919491750118,ittfvr,jnjquw,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,118,Yes,40,6667,7,18,31,38,48,237,30
919491750119,tzbgzx,cgvdsk,Pakisthan,shobina.k@flytxt.com,Malayalam,Mandarin,224,Yes,50,6667,7,18,31,38,48,237,30
919491750120,avxryi,rwhvoe,USA,shobina.k@flytxt.com,Malayalam,Spanish,138,Yes,26,6667,7,18,31,38,48,237,30
919491750121,jvwvzg,bupvox,Korea,shobina.k@flytxt.com,Malayalam,Tamil,241,Yes,67,6667,7,18,31,38,48,237,30
919491750122,nmnomb,iedbny,Korea,shobina.k@flytxt.com,Malayalam,Urdu,44,Yes,26,6667,7,18,31,38,48,237,30
919491750123,fbruxv,ptwfeb,USA,shobina.k@flytxt.com,Malayalam,Mandarin,42,Yes,40,6667,7,18,31,38,48,237,30
919491750124,xkqrwb,zkdcya,Pakisthan,shobina.k@flytxt.com,Malayalam,Urdu,135,Yes,47,6667,7,18,31,38,48,237,30
919491750125,dscade,gklcxq,India,shobina.k@flytxt.com,Malayalam,Spanish,330,Yes,42,6667,7,18,31,38,48,237,30
919491750126,mpdvhm,jqorqx,Pakisthan,shobina.k@flytxt.com,Malayalam,Mandarin,57,Yes,44,6667,7,18,31,38,48,237,30
919491750127,fydajt,okddbw,Pakisthan,shobina.k@flytxt.com,Malayalam,Urdu,120,Yes,67,6667,7,18,31,38,48,237,30
919491750128,samjha,tsyrbz,India,shobina.k@flytxt.com,Malayalam,Mandarin,147,Yes,46,6667,7,18,31,38,48,237,30
919491750129,fsvikw,wczdpq,Korea,shobina.k@flytxt.com,Malayalam,Tamil,117,Yes,46,6667,7,18,31,38,48,237,30
919491750130,uaqcku,skztgh,Korea,shobina.k@flytxt.com,Malayalam,Urdu,76,Yes,49,6667,7,18,31,38,48,237,30
919491750131,spgthc,klizbc,Korea,shobina.k@flytxt.com,Malayalam,Urdu,28,Yes,25,6667,7,18,31,38,48,237,30
919491750132,egjfyf,matvvb,Pakisthan,shobina.k@flytxt.com,Malayalam,Spanish,149,Yes,57,6667,7,18,31,38,48,237,30
919491750133,prmbdj,qgwcth,USA,shobina.k@flytxt.com,Malayalam,Urdu,246,Yes,71,6667,7,18,31,38,48,237,30
919491750134,fsfkcd,apljha,USA,shobina.k@flytxt.com,Malayalam,Urdu,23,Yes,48,6667,7,18,31,38,48,237,30
919491750135,pnkzsz,smwtfq,USA,shobina.k@flytxt.com,Malayalam,Mandarin,138,Yes,24,6667,7,18,31,38,48,237,30
919491750136,soggyo,ymqnra,Korea,shobina.k@flytxt.com,Malayalam,Spanish,120,Yes,42,6667,7,18,31,38,48,237,30
919491750137,gwthpv,kbzvrv,USA,shobina.k@flytxt.com,Malayalam,Spanish,273,Yes,45,6667,7,18,31,38,48,237,30
919491750138,rylyol,icegwl,India,shobina.k@flytxt.com,Malayalam,Mandarin,92,Yes,46,6667,7,18,31,38,48,237,30
919491750139,pkmqap,ogwgpb,India,shobina.k@flytxt.com,Malayalam,Urdu,102,Yes,24,6667,7,18,31,38,48,237,30
919491750140,quqdlb,gcivib,Korea,shobina.k@flytxt.com,Malayalam,Tamil,120,Yes,30,6667,7,18,31,38,48,237,30
919491750141,sfcffj,mmvnaw,Korea,shobina.k@flytxt.com,Malayalam,Tamil,188,Yes,26,6667,7,18,31,38,48,237,30
919491750142,wrfqzy,tjbtys,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,305,Yes,58,6667,7,18,31,38,48,237,30
919491750143,uhgfab,erurbg,Korea,shobina.k@flytxt.com,Malayalam,Urdu,250,Yes,26,6667,7,18,31,38,48,237,30
919491750144,xzcrfc,xjcmzt,Korea,shobina.k@flytxt.com,Malayalam,Urdu,194,Yes,66,6667,7,18,31,38,48,237,30
919491750145,wuhiuf,jcfcbx,Pakisthan,shobina.k@flytxt.com,Malayalam,Mandarin,257,Yes,26,6667,7,18,31,38,48,237,30
919491750146,csnpkt,zesmjd,Korea,shobina.k@flytxt.com,Malayalam,Urdu,109,Yes,28,6667,7,18,31,38,48,237,30
919491750147,vpbzwm,iupnun,India,shobina.k@flytxt.com,Malayalam,Mandarin,173,Yes,54,6667,7,18,31,38,48,237,30
919491750148,mhmkbj,qatukg,USA,shobina.k@flytxt.com,Malayalam,Spanish,40,Yes,34,6667,7,18,31,38,48,237,30
919491750149,qhvxzl,xeaxho,Korea,shobina.k@flytxt.com,Malayalam,Mandarin,377,Yes,70,6667,7,18,31,38,48,237,30
919491750150,iudwji,pxaodg,India,shobina.k@flytxt.com,Malayalam,Mandarin,216,Yes,46,6669,8,19,28,40,55,278,40
919491750151,xmivml,vcfmom,India,shobina.k@flytxt.com,Malayalam,Tamil,45,Yes,46,6669,8,19,28,40,55,238,40
919491750152,lgsavh,obbcal,USA,shobina.k@flytxt.com,Malayalam,Tamil,347,Yes,46,6669,8,19,28,40,55,238,40
919491750153,gayvme,ruzhbo,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,338,Yes,46,6669,8,19,28,40,55,238,40
919491750154,hhszdg,zowdxy,USA,shobina.k@flytxt.com,Malayalam,Mandarin,334,Yes,46,6669,8,19,28,40,55,237,40
919491750155,ttlags,lpnrfy,USA,shobina.k@flytxt.com,Malayalam,Urdu,342,Yes,46,6669,8,19,28,40,55,237,40
919491750156,yyynzw,cgtero,USA,shobina.k@flytxt.com,Malayalam,Spanish,254,Yes,46,6669,8,19,28,40,55,237,40
919491750157,pfcccy,swovcs,USA,shobina.k@flytxt.com,Malayalam,Mandarin,346,Yes,46,6669,8,19,28,40,55,237,40
919491750158,mpdbob,zdvvsp,India,shobina.k@flytxt.com,Malayalam,Tamil,60,Yes,46,6669,8,19,28,40,55,238,40
919491750159,fwuokx,dcqrrg,USA,shobina.k@flytxt.com,Malayalam,Tamil,151,Yes,46,6669,8,19,28,40,55,238,40
919491750160,phsrwh,iygqxe,USA,shobina.k@flytxt.com,Malayalam,Mandarin,137,Yes,46,6669,8,19,28,40,55,237,40
919491750161,llrovu,fijlgn,Korea,shobina.k@flytxt.com,Malayalam,Tamil,17,Yes,46,6669,8,19,28,40,55,238,40
919491750162,eirfum,ikbndg,India,shobina.k@flytxt.com,Malayalam,Spanish,224,Yes,46,6669,8,19,28,40,55,237,40
919491750163,crunpw,ryasnp,India,shobina.k@flytxt.com,Malayalam,Tamil,84,Yes,46,6669,8,19,28,40,55,238,40
919491750164,mchmom,wazdab,Korea,shobina.k@flytxt.com,Malayalam,Urdu,163,Yes,46,6669,8,19,28,40,55,237,40
919491750165,enymqy,plwmym,USA,shobina.k@flytxt.com,Malayalam,Mandarin,26,Yes,46,6669,8,19,28,40,55,237,40
919491750166,onslmo,hsasdc,Korea,shobina.k@flytxt.com,Malayalam,Urdu,317,Yes,46,6669,8,19,28,40,55,237,40
919491750167,tkxtsm,lkcksz,USA,shobina.k@flytxt.com,Malayalam,Urdu,206,Yes,46,6669,8,19,28,40,55,237,40
919491750168,fxhsor,ddighe,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,262,Yes,46,6669,8,19,28,40,55,238,40
919491750169,suefzi,setqes,USA,shobina.k@flytxt.com,Malayalam,Mandarin,298,Yes,46,6669,8,19,28,40,55,237,40
919491750170,kbdrxd,elagzd,Pakisthan,shobina.k@flytxt.com,Malayalam,Spanish,293,Yes,46,6669,8,19,28,40,55,237,40
919491750171,lvezir,vttsxq,USA,shobina.k@flytxt.com,Malayalam,Spanish,12,Yes,46,6669,8,19,28,40,55,237,40
919491750172,inmrtc,xqwcqj,India,shobina.k@flytxt.com,Malayalam,Spanish,367,Yes,46,6669,8,19,28,40,55,237,40
919491750173,eqhdqe,sbcxeg,India,shobina.k@flytxt.com,Malayalam,Urdu,135,Yes,46,6669,8,19,28,40,55,237,40
919491750174,ahnmbj,jgpzsc,Korea,shobina.k@flytxt.com,Malayalam,Tamil,13,Yes,46,6669,8,19,28,40,55,238,40
919491750175,wvhckx,ghfzll,India,shobina.k@flytxt.com,Malayalam,Mandarin,53,Yes,46,6669,8,19,28,40,55,237,40
919491750176,mlgvhz,anecsm,Korea,shobina.k@flytxt.com,Malayalam,Urdu,235,Yes,46,6669,8,19,28,40,55,237,40
919491750177,vglmja,hpwunw,Korea,shobina.k@flytxt.com,Malayalam,Spanish,121,Yes,46,6669,8,19,28,40,55,237,40
919491750178,pqvvyu,gxdmbt,USA,shobina.k@flytxt.com,Malayalam,Tamil,348,Yes,46,6669,8,19,28,40,55,238,40
919491750179,mvgptj,iwaagz,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,35,Yes,46,6669,8,19,28,40,55,238,40
919491750180,ecjifs,srumqn,Korea,shobina.k@flytxt.com,Malayalam,Spanish,106,Yes,46,6669,8,19,28,40,55,237,40
919491750181,pxyfer,iecyhd,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,252,Yes,46,6669,8,19,28,40,55,238,40
919491750182,ltwxqv,dnalek,Pakisthan,shobina.k@flytxt.com,Malayalam,Spanish,91,Yes,46,6669,8,19,28,40,55,237,40
919491750183,izevjs,oiondl,India,shobina.k@flytxt.com,Malayalam,Mandarin,321,Yes,46,6669,8,19,28,40,55,237,40
919491750184,uhxjqu,rzowse,Pakisthan,shobina.k@flytxt.com,Malayalam,Urdu,47,Yes,46,6669,8,19,28,40,55,237,40
919491750185,dwxdmv,zcahsc,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,44,Yes,46,6669,8,19,28,40,55,238,40
919491750186,kninkd,isagcb,USA,shobina.k@flytxt.com,Malayalam,Tamil,214,Yes,46,6669,8,19,28,40,55,238,40
919491750187,uetqrh,xlkdgy,India,shobina.k@flytxt.com,Malayalam,Urdu,333,Yes,46,6669,8,19,28,40,55,237,40
919491750188,vrlcml,zckemp,Korea,shobina.k@flytxt.com,Malayalam,Urdu,126,Yes,46,6669,8,19,28,40,55,237,40
919491750189,kgtydo,vkswps,Korea,shobina.k@flytxt.com,Malayalam,Tamil,167,Yes,46,6669,8,19,28,40,55,238,40
919491750190,flzrkk,cdoyqj,Korea,shobina.k@flytxt.com,Malayalam,Mandarin,377,Yes,46,6669,8,19,28,40,55,237,40
919491750191,fafakj,elxfdu,India,shobina.k@flytxt.com,Malayalam,Tamil,86,Yes,46,6669,8,19,28,40,55,238,40
919491750192,qpbiaq,vqrjeo,USA,shobina.k@flytxt.com,Malayalam,Tamil,332,Yes,46,6669,8,19,28,40,55,238,40
919491750193,dgjjrz,mgehzz,USA,shobina.k@flytxt.com,Malayalam,Tamil,174,Yes,46,6669,8,19,28,40,55,238,40
919491750194,zamnet,depdvg,Pakisthan,shobina.k@flytxt.com,Malayalam,Mandarin,99,Yes,46,6669,8,19,28,40,55,237,40
919491750195,tanaou,qryubg,Pakisthan,shobina.k@flytxt.com,Malayalam,Urdu,222,Yes,46,6669,8,19,28,40,55,237,40
919491750196,ufbqri,bznams,Pakisthan,shobina.k@flytxt.com,Malayalam,Tamil,2,Yes,46,6669,8,19,28,40,55,238,40
919491750197,jasptm,pybtfa,USA,shobina.k@flytxt.com,Malayalam,Urdu,227,Yes,46,6669,8,19,28,40,55,237,40
919491750198,bstcxd,pvekwt,USA,shobina.k@flytxt.com,Malayalam,Spanish,54,Yes,46,6669,8,19,28,40,55,237,40
