msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age,device id,location insight,digital persona,demographic,larned behaviour,analytical scores,digital engagement,event-number,event-text,event-date(ddMMyy),event-quantity,event-value,usage metric value,usage metric date,usage metric value2,usage metric date2,Date Time,Date
919922730014,ytpmsf,ayegse,Korea,ytpmsf@gmail.com,English,Mandarin,389,No,37,5555,4,14,24,38,48,235,14,dfg,120918,24,38,37,120918,50,100918,18/12/2018 10:22:55,17122018
919922730015,xyezdt,tjdqwx,India,xyezdt@gmail.com,English,Urdu,281,No,20,5555,4,15,24,35,48,234,15,g,120918,24,35,20,120918,45,100918,18/12/2018 10:22:55,17122018
919922730016,uamacj,dxonnn,Korea,uamacj@gmail.com,English,Mandarin,330,Yes,55,4444,4,14,24,38,48,235,14,dfg,120918,24,38,55,120918,56,100918,18/12/2018 10:22:55,17122018
919922730017,qxvbbr,whnnab,USA,qxvbbr@gmail.com,English,Urdu,60,No,24,5555,4,17,24,37,48,234,17,g,120918,24,37,24,120918,35,100918,18/12/2018 10:22:55,17122018
919922730018,yrnltc,guuijk,Korea,yrnltc@gmail.com,Korean,Urdu,216,Yes,63,4444,7,14,27,38,45,234,14,ijioni,120918,27,38,63,120918,45,100918,18/12/2018 10:22:55,17122018
919922730019,fkemei,bwngvq,Pakisthan,fkemei@gmail.com,Korean,Mandarin,256,No,27,5555,7,18,27,34,45,235,18,okjj,120918,27,34,27,120918,65,100918,18/12/2018 10:22:55,17122018
919922730020,ozgcgk,otjzne,USA,ozgcgk@gmail.com,Korean,Urdu,321,Yes,25,4444,7,17,27,37,45,234,17,fdgf,120918,27,37,25,120918,64,100918,18/12/2018 10:22:55,17122018
919922730021,jvapof,ysimrg,Korea,jvapof@gmail.com,Hindi,Urdu,383,No,55,5555,8,14,28,38,44,234,14,dfg,120918,28,38,55,120918,26,100918,18/12/2018 10:22:55,17122018
919922730022,erndvy,sezqvq,USA,erndvy@gmail.com,Hindi,Urdu,117,Yes,17,4444,8,17,28,37,44,234,17,fg,120918,28,37,17,120918,19,100918,18/12/2018 10:22:55,17122018
919922730023,nkoexa,lsikfv,Pakisthan,nkoexa@gmail.com,Hindi,Urdu,385,No,27,5555,8,18,28,34,44,234,18,dfg,120918,28,34,27,120918,26,100918,18/12/2018 10:22:55,17122018
919922730024,pwbikh,rionnk,India,pwbikh@gmail.com,Korean,Tamil,327,Yes,67,4444,7,15,27,35,45,238,15,dfg,120918,27,35,67,120918,20,100918,18/12/2018 10:22:55,17122018
919922730025,pfudjn,reyqxt,Korea,pfudjn@gmail.com,Korean,Urdu,123,No,51,5555,7,14,27,38,45,234,14,g,120918,27,38,51,120918,18,100918,18/12/2018 10:22:55,17122018
919922730026,xdpusk,adxurj,USA,xdpusk@gmail.com,English,Urdu,378,Yes,63,4444,4,17,24,37,48,234,17,fdgf,120918,24,37,63,120918,27,100918,18/12/2018 10:22:55,17122018
919922730027,udrqvk,ojpikz,Korea,udrqvk@gmail.com,Korean,Spanish,130,Yes,72,4444,7,14,27,38,45,237,14,fdgf,120918,27,38,72,120918,62,100918,18/12/2018 10:22:55,17122018
919922730028,anaqiz,qwmacp,Korea,anaqiz@gmail.com,English,Urdu,185,Yes,69,4444,4,14,24,38,48,234,14,dfg,120918,24,38,69,120918,44,100918,18/12/2018 10:22:55,17122018
919922730029,ouhlsa,ntudmw,Korea,ouhlsa@gmail.com,Hindi,Mandarin,173,Yes,50,4444,8,14,28,38,44,235,14,gdf,120918,28,38,50,120918,45,100918,18/12/2018 10:22:55,17122018
919922730030,ztteaj,buetdr,USA,ztteaj@gmail.com,Hindi,Tamil,5,No,68,5555,8,17,28,37,44,238,17,g,120918,28,37,68,120918,52,100918,18/12/2018 10:22:55,17122018
919922730031,stayhz,gkrlbd,India,stayhz@gmail.com,English,Spanish,216,No,24,5555,4,15,24,35,48,237,15,dfg,120918,24,35,24,120918,47,100918,18/12/2018 10:22:55,17122018
919922730032,rclqgl,zuafsj,Pakisthan,rclqgl@gmail.com,Hindi,Mandarin,280,No,57,5555,8,18,28,34,44,235,18,g,120918,28,34,57,120918,40,100918,18/12/2018 10:22:55,17122018
919922730033,jesyhn,gbcram,India,jesyhn@gmail.com,Korean,Mandarin,164,Yes,56,4444,7,15,27,35,45,235,15,dfg,120918,27,35,56,120918,66,100918,18/12/2018 10:22:55,17122018
919922730034,tlgofy,ajmdkk,USA,tlgofy@gmail.com,Korean,Spanish,280,No,28,5555,7,17,27,37,45,237,17,g,120918,27,37,28,120918,69,100918,18/12/2018 10:22:55,17122018
919922730035,ciqztv,jsrzhk,India,ciqztv@gmail.com,Korean,Mandarin,123,Yes,20,4444,7,15,27,35,45,235,15,ijioni,120918,27,35,20,120918,41,100918,18/12/2018 10:22:55,17122018
919922730036,kulsgh,ozjxcf,Korea,kulsgh@gmail.com,Malayalam,Urdu,392,Yes,22,4444,5,14,25,38,47,234,14,okjj,120918,25,38,22,120918,52,100918,18/12/2018 10:22:55,17122018
919922730037,iotmbj,ppffqd,India,iotmbj@gmail.com,Korean,Mandarin,320,Yes,19,4444,7,15,27,35,45,235,15,fdgf,120918,27,35,19,120918,52,100918,18/12/2018 10:22:55,17122018
919922730038,lkayzk,jowbqe,Pakisthan,lkayzk@gmail.com,Korean,Mandarin,344,Yes,29,4444,7,18,27,34,45,235,18,dfg,120918,27,34,29,120918,29,100918,18/12/2018 10:22:55,17122018
919922730039,ekszjn,txsrtm,India,ekszjn@gmail.com,English,Spanish,357,No,53,5555,4,15,24,35,48,237,15,fg,120918,24,35,53,120918,53,100918,18/12/2018 10:22:55,17122018
919922730040,llpevy,sgftht,USA,llpevy@gmail.com,English,Tamil,76,No,65,5555,4,17,24,37,48,238,17,dfg,120918,24,37,65,120918,65,100918,18/12/2018 10:22:55,17122018
919922730041,yxdyib,hicyrd,India,yxdyib@gmail.com,Malayalam,Urdu,230,No,74,5555,5,15,25,35,47,234,15,dfg,120918,25,35,74,120918,74,100918,18/12/2018 10:22:55,17122018
919922730042,nnnsvh,dvuogl,Korea,nnnsvh@gmail.com,English,Tamil,185,Yes,52,4444,4,14,24,38,48,238,14,g,120918,24,38,52,120918,52,100918,18/12/2018 10:22:55,17122018
919922730043,tthpzw,owutqj,India,tthpzw@gmail.com,Korean,Mandarin,50,No,39,5555,7,15,27,35,45,235,15,fdgf,120918,27,35,39,120918,39,100918,18/12/2018 10:22:55,17122018
919922730044,joicpq,kfooxq,Pakisthan,joicpq@gmail.com,Malayalam,Tamil,11,Yes,26,4444,5,18,25,34,47,238,18,fdgf,120918,25,34,26,120918,26,100918,18/12/2018 10:22:55,17122018
919922730045,klqxmr,fxzezk,Korea,klqxmr@gmail.com,English,Urdu,378,Yes,61,4444,4,14,24,38,48,234,14,dfg,120918,24,38,61,120918,61,100918,18/12/2018 10:22:55,17122018
919922730046,spidpk,bmvyxl,USA,spidpk@gmail.com,English,Spanish,388,No,42,5555,4,17,24,37,48,237,17,gdf,120918,24,37,42,120918,42,100918,18/12/2018 10:22:55,17122018
919922730047,rdgxcr,vqvdgt,Pakisthan,rdgxcr@gmail.com,Hindi,Urdu,385,Yes,57,4444,8,18,28,34,44,234,18,g,120918,28,34,57,120918,57,100918,18/12/2018 10:22:55,17122018
919922730048,awzhql,igycpv,USA,awzhql@gmail.com,Korean,Mandarin,222,No,29,5555,7,17,27,37,45,235,17,dfg,120918,27,37,29,120918,29,100918,18/12/2018 10:22:55,17122018
919922730049,vnqmzv,uolzua,India,vnqmzv@gmail.com,Korean,Mandarin,243,No,25,5555,7,15,27,35,45,235,15,g,120918,27,35,25,120918,25,100918,18/12/2018 10:22:55,17122018
919922730050,vnfsng,oztpux,USA,vnfsng@gmail.com,Hindi,Tamil,241,Yes,54,4444,8,17,28,37,44,238,17,dfg,120918,28,37,54,120918,54,100918,18/12/2018 10:22:55,17122018
919922730051,usulrh,qngtyz,Pakisthan,usulrh@gmail.com,English,Urdu,194,Yes,16,4444,4,18,24,34,48,234,18,g,120918,24,34,16,120918,16,100918,18/12/2018 10:22:55,17122018
919922730052,yuvvql,tvpkcd,India,yuvvql@gmail.com,Malayalam,Spanish,96,Yes,39,4444,5,15,25,35,47,237,15,ijioni,120918,25,35,39,120918,39,100918,18/12/2018 10:22:55,17122018
919922730053,ohccrt,dbypbp,Korea,ohccrt@gmail.com,Hindi,Spanish,106,Yes,45,4444,8,14,28,38,44,237,14,okjj,120918,28,38,45,120918,45,100918,18/12/2018 10:22:55,17122018
919922730054,lcoblj,dpqdfn,Pakisthan,lcoblj@gmail.com,Korean,Urdu,269,No,59,5555,7,18,27,34,45,234,18,fdgf,120918,27,34,59,120918,59,100918,18/12/2018 10:22:55,17122018
919922730055,fkkoom,fvzskr,Korea,fkkoom@gmail.com,English,Tamil,197,Yes,55,4444,4,14,24,38,48,238,14,dfg,120918,24,38,55,120918,55,100918,18/12/2018 10:22:55,17122018
919922730056,nxcbgy,tbhlwg,Pakisthan,nxcbgy@gmail.com,English,Tamil,364,No,64,5555,4,18,24,34,48,238,18,fg,120918,24,34,64,120918,64,100918,18/12/2018 10:22:55,17122018
919922730057,getquu,plzpgd,USA,getquu@gmail.com,English,Tamil,283,No,29,5555,4,17,24,37,48,238,17,dfg,120918,24,37,29,120918,29,100918,18/12/2018 10:22:55,17122018
919922730058,olicgn,qoymeg,India,olicgn@gmail.com,English,Tamil,260,No,60,5555,4,15,24,35,48,238,15,dfg,120918,24,35,60,120918,60,100918,18/12/2018 10:22:55,17122018
919922730059,zcyfge,adsems,Korea,zcyfge@gmail.com,English,Mandarin,33,No,26,5555,4,14,24,38,48,235,14,g,120918,24,38,26,120918,26,100918,18/12/2018 10:22:55,17122018
919922730060,hpsxut,obteqd,Korea,hpsxut@gmail.com,Korean,Urdu,17,Yes,20,4444,7,14,27,38,45,234,14,fdgf,120918,27,38,20,120918,20,100918,18/12/2018 10:22:55,17122018
919922730061,xxsxjn,ttwsxg,USA,xxsxjn@gmail.com,Hindi,Spanish,289,Yes,55,4444,8,17,28,37,44,237,17,fdgf,120918,28,37,55,120918,55,100918,18/12/2018 10:22:55,17122018
919922730062,apzudb,isaigw,Korea,apzudb@gmail.com,Hindi,Urdu,7,No,57,5555,8,14,28,38,44,234,14,dfg,120918,28,38,57,120918,57,100918,18/12/2018 10:22:55,17122018
919922730063,vcykcb,kvrlup,USA,vcykcb@gmail.com,English,Tamil,234,Yes,30,4444,4,17,24,37,48,238,17,gdf,120918,24,37,30,120918,30,100918,18/12/2018 10:22:55,17122018
919922730064,klorit,cjqomj,USA,klorit@gmail.com,English,Urdu,33,Yes,44,4444,4,17,24,37,48,234,17,g,120918,24,37,44,120918,44,100918,18/12/2018 10:22:55,17122018
919922730065,gizdxo,loxpks,USA,gizdxo@gmail.com,Korean,Tamil,398,Yes,26,4444,7,17,27,37,45,238,17,dfg,120918,27,37,26,120918,26,100918,18/12/2018 10:22:55,17122018
919922730066,oxisqj,xsleuc,Pakisthan,oxisqj@gmail.com,English,Spanish,278,No,17,5555,4,18,24,34,48,237,18,g,120918,24,34,17,120918,17,100918,18/12/2018 10:22:55,17122018
919922730067,xtqofa,qiyyim,Korea,xtqofa@gmail.com,Hindi,Urdu,297,No,64,5555,8,14,28,38,44,234,14,dfg,120918,28,38,64,120918,64,100918,18/12/2018 10:22:55,17122018
919922730068,isfard,xcbizh,USA,isfard@gmail.com,Korean,Urdu,93,No,36,5555,7,17,27,37,45,234,17,g,120918,27,37,36,120918,36,100918,18/12/2018 10:22:55,17122018
919922730069,lgpvgy,lyeykf,Pakisthan,lgpvgy@gmail.com,English,Spanish,336,Yes,73,4444,4,18,24,34,48,237,18,ijioni,120918,24,34,73,120918,73,100918,18/12/2018 10:22:55,17122018
919922730070,czfceu,gkimwk,USA,czfceu@gmail.com,Malayalam,Tamil,7,No,28,5555,5,17,25,37,47,238,17,okjj,120918,25,37,28,120918,28,100918,18/12/2018 10:22:55,17122018
919922730071,rpvtoj,pnwweu,India,rpvtoj@gmail.com,Hindi,Tamil,199,Yes,26,4444,8,15,28,35,44,238,15,fdgf,120918,28,35,26,120918,26,100918,18/12/2018 10:22:55,17122018
919922730072,ffpqly,qyayls,Korea,ffpqly@gmail.com,Malayalam,Mandarin,362,No,72,5555,5,14,25,38,47,235,14,dfg,120918,25,38,72,120918,72,100918,18/12/2018 10:22:55,17122018
919922730073,eectak,ofjakq,Pakisthan,eectak@gmail.com,Hindi,Mandarin,237,Yes,31,4444,8,18,28,34,44,235,18,fg,120918,28,34,31,120918,31,100918,18/12/2018 10:22:55,17122018
919922730074,londup,zxtszd,Korea,londup@gmail.com,Hindi,Urdu,301,Yes,23,4444,8,14,28,38,44,234,14,dfg,120918,28,38,23,120918,23,100918,18/12/2018 10:22:55,17122018
919922730075,dlckxc,mvppkq,India,dlckxc@gmail.com,Malayalam,Mandarin,385,No,15,5555,5,15,25,35,47,235,15,dfg,120918,25,35,15,120918,15,100918,18/12/2018 10:22:55,17122018
919922730076,chlbbr,qzqmfc,India,chlbbr@gmail.com,English,Tamil,302,No,68,5555,4,15,24,35,48,238,15,g,120918,24,35,68,120918,68,100918,18/12/2018 10:22:55,17122018
919922730077,bmxvrl,cchbba,Korea,bmxvrl@gmail.com,Korean,Spanish,151,No,54,5555,7,14,27,38,45,237,14,fdgf,120918,27,38,54,120918,54,100918,18/12/2018 10:22:55,17122018
919922730078,rpsntb,jhvhip,India,rpsntb@gmail.com,Malayalam,Tamil,81,Yes,21,4444,5,15,25,35,47,238,15,fdgf,120918,25,35,21,120918,21,100918,18/12/2018 10:22:55,17122018
919922730079,cyrmwd,vqjnta,Korea,cyrmwd@gmail.com,Hindi,Tamil,261,No,20,5555,8,14,28,38,44,238,14,dfg,120918,28,38,20,120918,20,100918,18/12/2018 10:22:55,17122018
919922730080,oujsni,zeqwuz,Korea,oujsni@gmail.com,Hindi,Spanish,19,Yes,70,4444,8,14,28,38,44,237,14,gdf,120918,28,38,70,120918,70,100918,18/12/2018 10:22:55,17122018
919922730081,yofgox,pbwiby,Korea,yofgox@gmail.com,Malayalam,Urdu,40,No,17,5555,5,14,25,38,47,234,14,g,120918,25,38,17,120918,17,100918,18/12/2018 10:22:55,17122018
919922730082,ruajid,mlipya,Korea,ruajid@gmail.com,Hindi,Spanish,221,Yes,17,4444,8,14,28,38,44,237,14,dfg,120918,28,38,17,120918,17,100918,18/12/2018 10:22:55,17122018
919922730083,fgkmiw,fxptjs,Pakisthan,fgkmiw@gmail.com,Korean,Urdu,244,No,35,5555,7,18,27,34,45,234,18,g,120918,27,34,35,120918,35,100918,18/12/2018 10:22:55,17122018
919922730084,asrkho,oyocon,Pakisthan,asrkho@gmail.com,Hindi,Tamil,147,Yes,68,4444,8,18,28,34,44,238,18,dfg,120918,28,34,68,120918,68,100918,18/12/2018 10:22:55,17122018
919922730085,axrxic,jsbyxx,Pakisthan,axrxic@gmail.com,Korean,Tamil,327,Yes,59,4444,7,18,27,34,45,238,18,g,120918,27,34,59,120918,59,100918,18/12/2018 10:22:55,17122018
919922730086,gvnsel,dnkadw,USA,gvnsel@gmail.com,Hindi,Mandarin,395,No,66,5555,8,17,28,37,44,235,17,ijioni,120918,28,37,66,120918,66,100918,18/12/2018 10:22:55,17122018
919922730087,sqgudg,onqajv,Korea,sqgudg@gmail.com,Korean,Urdu,62,No,17,5555,7,14,27,38,45,234,14,okjj,120918,27,38,17,120918,17,100918,18/12/2018 10:22:55,17122018
919922730088,gfvvzw,vkmqla,USA,gfvvzw@gmail.com,Hindi,Urdu,74,Yes,48,4444,8,17,28,37,44,234,17,fdgf,120918,28,37,48,120918,48,100918,18/12/2018 10:22:55,17122018
919922730089,ylkwlk,tcxbvg,Pakisthan,ylkwlk@gmail.com,Hindi,Urdu,160,Yes,19,4444,8,18,28,34,44,234,18,dfg,120918,28,34,19,120918,19,100918,18/12/2018 10:22:55,17122018
919922730090,sahdyn,nqonaz,India,sahdyn@gmail.com,Hindi,Spanish,185,Yes,58,4444,8,15,28,35,44,237,15,fg,120918,28,35,58,120918,58,100918,18/12/2018 10:22:55,17122018
919922730091,jqkada,zujyby,Pakisthan,jqkada@gmail.com,English,Urdu,248,Yes,74,4444,4,18,24,34,48,234,18,dfg,120918,24,34,74,120918,74,100918,18/12/2018 10:22:55,17122018
919922730092,sfytgg,lckrtb,Pakisthan,sfytgg@gmail.com,Malayalam,Tamil,135,Yes,50,4444,5,18,25,34,47,238,18,dfg,120918,25,34,50,120918,50,100918,18/12/2018 10:22:55,17122018
919922730093,vceyqi,frpjlm,Pakisthan,vceyqi@gmail.com,English,Mandarin,368,Yes,28,4444,4,18,24,34,48,235,18,g,120918,24,34,28,120918,28,100918,18/12/2018 10:22:55,17122018
919922730094,nrwnem,trulmh,India,nrwnem@gmail.com,Korean,Urdu,216,No,40,5555,7,15,27,35,45,234,15,fdgf,120918,27,35,40,120918,40,100918,18/12/2018 10:22:55,17122018
919922730095,tpqttx,pthrmz,Korea,tpqttx@gmail.com,Korean,Mandarin,376,No,73,5555,7,14,27,38,45,235,14,fdgf,120918,27,38,73,120918,73,100918,18/12/2018 10:22:55,17122018
919922730096,nwkwck,tdurkj,India,nwkwck@gmail.com,Korean,Tamil,106,No,74,5555,7,15,27,35,45,238,15,dfg,120918,27,35,74,120918,74,100918,18/12/2018 10:22:55,17122018
919922730097,ebjzse,xuhmdw,USA,ebjzse@gmail.com,English,Spanish,70,No,44,5555,4,17,24,37,48,237,17,gdf,120918,24,37,44,120918,44,100918,18/12/2018 10:22:55,17122018
919922730098,zoddke,spsirm,USA,zoddke@gmail.com,Malayalam,Tamil,152,No,67,5555,5,17,25,37,47,238,17,g,120918,25,37,67,120918,67,100918,18/12/2018 10:22:55,17122018
919922730099,lvcvpg,paiaff,Pakisthan,lvcvpg@gmail.com,English,Spanish,375,No,26,5555,4,18,24,34,48,237,18,dfg,120918,24,34,26,120918,26,100918,18/12/2018 10:22:55,17122018
919922730100,crulam,amrtaz,Pakisthan,crulam@gmail.com,Korean,Tamil,359,No,24,5555,7,18,27,34,45,238,18,g,120918,27,34,24,120918,24,100918,18/12/2018 10:22:55,17122018
919922730101,kujrxv,sijgqr,Korea,kujrxv@gmail.com,English,Mandarin,147,No,31,5555,4,14,24,38,48,235,14,dfg,120918,24,38,31,120918,31,100918,18/12/2018 10:22:55,17122018
919922730102,tomdna,yvmrgh,Pakisthan,tomdna@gmail.com,English,Spanish,77,No,71,5555,4,18,24,34,48,237,18,g,120918,24,34,71,120918,71,100918,18/12/2018 10:22:55,17122018
919922730103,dxsbwv,clhqen,India,dxsbwv@gmail.com,English,Spanish,189,Yes,61,4444,4,15,24,35,48,237,15,ijioni,120918,24,35,61,120918,61,100918,18/12/2018 10:22:55,17122018
919922730104,vdfnfy,cjmmtk,Pakisthan,vdfnfy@gmail.com,Hindi,Urdu,273,Yes,33,4444,8,18,28,34,44,234,18,okjj,120918,28,34,33,120918,33,100918,18/12/2018 10:22:55,17122018
919922730105,tfotdb,fajwpj,USA,tfotdb@gmail.com,English,Tamil,137,Yes,58,4444,4,17,24,37,48,238,17,fdgf,120918,24,37,58,120918,58,100918,18/12/2018 10:22:55,17122018
919922730106,hvgrfa,ozhgrc,India,hvgrfa@gmail.com,Malayalam,Spanish,92,Yes,15,4444,5,15,25,35,47,237,15,dfg,120918,25,35,15,120918,15,100918,18/12/2018 10:22:55,17122018
919922730107,homdxk,yuhsaq,India,homdxk@gmail.com,Korean,Mandarin,248,No,46,5555,7,15,27,35,45,235,15,fg,120918,27,35,46,120918,46,100918,18/12/2018 10:22:55,17122018
919922730108,wouqmm,xbtncm,Korea,wouqmm@gmail.com,Malayalam,Spanish,111,No,29,5555,5,14,25,38,47,237,14,dfg,120918,25,38,29,120918,29,100918,18/12/2018 10:22:55,17122018
919922730109,lemegh,gvtrrh,Korea,lemegh@gmail.com,Hindi,Urdu,383,Yes,18,4444,8,14,28,38,44,234,14,dfg,120918,28,38,18,120918,18,100918,18/12/2018 10:22:55,17122018
919922730110,jmdxwd,jgecqf,India,jmdxwd@gmail.com,Hindi,Mandarin,350,No,71,5555,8,15,28,35,44,235,15,g,120918,28,35,71,120918,71,100918,18/12/2018 10:22:55,17122018
919922730111,wqjzyr,iwrjcj,India,wqjzyr@gmail.com,Malayalam,Mandarin,6,Yes,20,4444,5,15,25,35,47,235,15,fdgf,120918,25,35,20,120918,20,100918,18/12/2018 10:22:55,17122018
919922730112,qzgwdh,keyxnu,USA,qzgwdh@gmail.com,English,Mandarin,10,Yes,53,4444,4,17,24,37,48,235,17,fdgf,120918,24,37,53,120918,53,100918,18/12/2018 10:22:55,17122018
919922730113,zveeow,xxjduo,Pakisthan,zveeow@gmail.com,Malayalam,Spanish,155,Yes,48,4444,5,18,25,34,47,237,18,dfg,120918,25,34,48,120918,48,100918,18/12/2018 10:22:55,17122018
919922730114,spidzm,kxlisv,India,spidzm@gmail.com,English,Mandarin,76,No,34,5555,4,15,24,35,48,235,15,gdf,120918,24,35,34,120918,34,100918,18/12/2018 10:22:55,17122018
919922730115,jsqslp,wdhfcv,Korea,jsqslp@gmail.com,Hindi,Tamil,166,Yes,68,4444,8,14,28,38,44,238,14,g,120918,28,38,68,120918,68,100918,18/12/2018 10:22:55,17122018
919922730116,cwsyxj,dpmzqe,Korea,cwsyxj@gmail.com,English,Urdu,348,Yes,24,4444,4,14,24,38,48,234,14,dfg,120918,24,38,24,120918,24,100918,18/12/2018 10:22:55,17122018
919922730117,ittfvr,jnjquw,Pakisthan,ittfvr@gmail.com,English,Tamil,118,Yes,40,4444,4,18,24,34,48,238,18,g,120918,24,34,40,120918,40,100918,18/12/2018 10:22:55,17122018
919922730118,tzbgzx,cgvdsk,Pakisthan,tzbgzx@gmail.com,English,Mandarin,224,No,50,5555,4,18,24,34,48,235,18,dfg,120918,24,34,50,120918,50,100918,18/12/2018 10:22:55,17122018
919922730119,avxryi,rwhvoe,USA,avxryi@gmail.com,Korean,Spanish,138,No,17,5555,7,17,27,37,45,237,17,g,120918,27,37,17,120918,17,100918,18/12/2018 10:22:55,17122018
919922730120,jvwvzg,bupvox,Korea,jvwvzg@gmail.com,Hindi,Tamil,241,Yes,67,4444,8,14,28,38,44,238,14,ijioni,120918,28,38,67,120918,67,100918,18/12/2018 10:22:55,17122018
919922730121,nmnomb,iedbny,Korea,nmnomb@gmail.com,Malayalam,Urdu,44,Yes,20,4444,5,14,25,38,47,234,14,okjj,120918,25,38,20,120918,20,100918,18/12/2018 10:22:55,17122018
919922730122,fbruxv,ptwfeb,USA,fbruxv@gmail.com,Malayalam,Mandarin,42,No,40,5555,5,17,25,37,47,235,17,fdgf,120918,25,37,40,120918,40,100918,18/12/2018 10:22:55,17122018
919922730123,xkqrwb,zkdcya,Pakisthan,xkqrwb@gmail.com,Hindi,Urdu,135,Yes,47,4444,8,18,28,34,44,234,18,dfg,120918,28,34,47,120918,47,100918,18/12/2018 10:22:55,17122018
919922730124,dscade,gklcxq,India,dscade@gmail.com,Korean,Spanish,330,Yes,42,4444,7,15,27,35,45,237,15,fg,120918,27,35,42,120918,42,100918,18/12/2018 10:22:55,17122018
919922730125,mpdvhm,jqorqx,Pakisthan,mpdvhm@gmail.com,Hindi,Mandarin,57,Yes,44,4444,8,18,28,34,44,235,18,dfg,120918,28,34,44,120918,44,100918,18/12/2018 10:22:55,17122018
919922730126,fydajt,okddbw,Pakisthan,fydajt@gmail.com,Hindi,Urdu,120,No,67,5555,8,18,28,34,44,234,18,dfg,120918,28,34,67,120918,67,100918,18/12/2018 10:22:55,17122018
919922730127,samjha,tsyrbz,India,samjha@gmail.com,Korean,Mandarin,147,Yes,46,4444,7,15,27,35,45,235,15,g,120918,27,35,46,120918,46,100918,18/12/2018 10:22:55,17122018
919922730128,fsvikw,wczdpq,Korea,fsvikw@gmail.com,Malayalam,Tamil,117,Yes,46,4444,5,14,25,38,47,238,14,fdgf,120918,25,38,46,120918,46,100918,18/12/2018 10:22:55,17122018
919922730129,uaqcku,skztgh,Korea,uaqcku@gmail.com,English,Urdu,76,No,49,5555,4,14,24,38,48,234,14,fdgf,120918,24,38,49,120918,49,100918,18/12/2018 10:22:55,17122018
919922730130,spgthc,klizbc,Korea,spgthc@gmail.com,Hindi,Urdu,28,Yes,25,4444,8,14,28,38,44,234,14,dfg,120918,28,38,25,120918,25,100918,18/12/2018 10:22:55,17122018
919922730131,egjfyf,matvvb,Pakisthan,egjfyf@gmail.com,Hindi,Spanish,149,No,57,5555,8,18,28,34,44,237,18,gdf,120918,28,34,57,120918,57,100918,18/12/2018 10:22:55,17122018
919922730132,prmbdj,qgwcth,USA,prmbdj@gmail.com,Hindi,Urdu,246,No,71,5555,8,17,28,37,44,234,17,g,120918,28,37,71,120918,71,100918,18/12/2018 10:22:55,17122018
