msisdn,amount
919447095750,22
919447095751,22
919447095752,22
919447095753,22
919447095754,22
919447095755,22
919447095756,22
919447095757,22
919447095758,22
919447095759,22
919447095760,22
919447095761,22
919447095762,22
919447095763,22
919447095764,22
919447095765,22
919447095766,22
919447095767,22
919447095768,22
919447095769,22
919447095770,22
919447095771,22
919447095772,22
919447095773,22
919447095774,22
919447095775,22
919447095776,22
919447095777,22
919447095778,22
919447095779,22
919447095780,22
919447095781,22
919447095782,22
919447095783,22
919447095784,22
919447095785,22
919447095786,22
919447095787,22
919447095788,22
919447095789,22
919447095790,22
919447095791,22
919447095792,22
919447095793,22
919447095794,22
919447095795,22
919447095796,22
919447095797,22
919447095798,22
919447095799,22
919447095800,22
919447095801,22
919447095802,22
919447095803,22
919447095804,22
919447095805,22
919447095806,22
919447095807,22
919447095808,22
919447095809,22
919447095810,22
919447095811,22
919447095812,22
919447095813,22
919447095814,22
919447095815,22
919447095816,22
919447095817,22
919447095818,22
919447095819,22
919447095820,22
919447095821,22
919447095822,22
919447095823,22
919447095824,22
919447095825,22
919447095826,22
919447095827,22
919447095828,22
919447095829,22
919447095830,22
919447095831,22
919447095832,22
919447095833,22
919447095834,22
919447095835,22
919447095836,22
919447095837,22
919447095838,22
919447095839,22
919447095840,22
919447095841,22
919447095842,22
919447095843,22
919447095844,22
919447095845,22
919447095846,22
919447095847,22
919447095848,22
919447095849,22
919447095850,22
919447095851,22
919447095852,22
919447095853,22
919447095854,22
919447095855,22
919447095856,22
919447095857,22
919447095858,22
919447095859,22
919447095860,22
919447095861,22
919447095862,22
919447095863,22
919447095864,22
919447095865,22
919447095866,22
919447095867,22
919447095868,22
919447095869,22
919447095870,22
919447095871,22
919447095872,22
919447095873,22
919447095874,22
919447095875,22
919447095876,22
919447095877,22
919447095878,22
919447095879,22
919447095880,22
919447095881,22
919447095882,22
919447095883,22
919447095884,22
919447095885,22
919447095886,22
919447095887,22
919447095888,22
919447095889,22
919447095890,22
919447095891,22
919447095892,22
919447095893,22
919447095894,22
919447095895,22
919447095896,22
919447095897,22
919447095898,22
919447095899,22
919447095900,22
919447095901,22
919447095902,22
919447095903,22
919447095904,22
919447095905,22
919447095906,22
919447095907,22
919447095908,22
919447095909,22
919447095910,22
919447095911,22
919447095912,22
919447095913,22
919447095914,22
919447095915,22
919447095916,22
919447095917,22
919447095918,22
919447095919,22
919447095920,22
919447095921,22
919447095922,22
919447095923,22
919447095924,22
919447095925,22
919447095926,22
919447095927,22
919447095928,22
919447095929,22
919447095930,22
919447095931,22
919447095932,22
919447095933,22
919447095934,22
919447095935,22
919447095936,22
919447095937,22
919447095938,22
919447095939,22
919447095940,22
919447095941,22
919447095942,22
919447095943,22
919447095944,22
919447095945,22
919447095946,22
919447095947,22
919447095948,22
919447095949,22
919447095950,22
919447095951,22
919447095952,22
919447095953,22
919447095954,22
919447095955,22
919447095956,22
919447095957,22
919447095958,22
919447095959,22
919447095960,22
919447095961,22
919447095962,22
919447095963,22
919447095964,22
919447095965,22
919447095966,22
919447095967,22
919447095968,22
919447095969,22
919447095970,22
919447095971,22
919447095972,22
919447095973,22
919447095974,22
919447095975,22
919447095976,22
919447095977,22
919447095978,22
919447095979,22
919447095980,22
919447095981,22
919447095982,22
919447095983,22
919447095984,22
919447095985,22
919447095986,22
919447095987,22
919447095988,22
919447095989,22
919447095990,22
919447095991,22
919447095992,22
919447095993,22
919447095994,22
919447095995,22
919447095996,22
919447095997,22
919447095998,22
919447095999,22
919447096000,22
919447096001,22
919447096002,22
919447096003,22
919447096004,22
919447096005,22
919447096006,22
919447096007,22
919447096008,22
919447096009,22
919447096010,22
919447096011,22
919447096012,22
919447096013,22
919447096014,22
919447096015,22
919447096016,22
919447096017,22
919447096018,22
919447096019,22
919447096020,22
919447096021,22
919447096022,22
919447096023,22
919447096024,22
919447096025,22
919447096026,22
919447096027,22
919447096028,22
